model,category,n_items,communication_rate,good_question_rate_all,good_question_rate_conditional,false_recovery_rate_all,false_recovery_rate_conditional
Meta-Llama-3-13B-Instruct,1a,164,0.3597560975609756,0.18292682926829268,0.5084745762711864,0.042682926829268296,0.06666666666666667
Meta-Llama-3-13B-Instruct,1c,163,0.3128834355828221,0.1165644171779141,0.37254901960784315,0.11042944785276074,0.16071428571428573
Meta-Llama-3-13B-Instruct,1p,164,0.35365853658536583,0.12195121951219512,0.3448275862068966,0.07926829268292683,0.12264150943396226
Meta-Llama-3-13B-Instruct,2ac,162,0.4506172839506173,0.19753086419753085,0.4383561643835616,0.037037037037037035,0.06741573033707865
Meta-Llama-3-13B-Instruct,2ap,71,0.5492957746478874,0.36619718309859156,0.6666666666666666,0.028169014084507043,0.0625
Meta-Llama-3-13B-Instruct,2cp,35,0.34285714285714286,0.14285714285714285,0.4166666666666667,0.11428571428571428,0.17391304347826086
Meta-Llama-3-13B-Instruct,3acp,12,0.4166666666666667,0.3333333333333333,0.8,0.0,0.0
deepseek-coder-6.7b-instruct,1a,164,0.3048780487804878,0.22560975609756098,0.74,0.21341463414634146,0.30701754385964913
deepseek-coder-6.7b-instruct,1c,163,0.27607361963190186,0.2147239263803681,0.7777777777777778,0.27607361963190186,0.3813559322033898
deepseek-coder-6.7b-instruct,1p,164,0.4024390243902439,0.3048780487804878,0.7575757575757576,0.20121951219512196,0.336734693877551
deepseek-coder-6.7b-instruct,2ac,162,0.4012345679012346,0.2716049382716049,0.676923076923077,0.17901234567901234,0.29896907216494845
deepseek-coder-6.7b-instruct,2ap,71,0.352112676056338,0.28169014084507044,0.8,0.11267605633802817,0.17391304347826086
deepseek-coder-6.7b-instruct,2cp,35,0.4857142857142857,0.2571428571428571,0.5294117647058824,0.22857142857142856,0.4444444444444444
deepseek-coder-6.7b-instruct,3acp,12,0.25,0.16666666666666666,0.6666666666666666,0.25,0.3333333333333333
gemini-2.5-flash-lite,1a,164,0.3475609756097561,0.3048780487804878,0.8771929824561403,0.3353658536585366,0.514018691588785
gemini-2.5-flash-lite,1c,163,0.2085889570552147,0.1656441717791411,0.7941176470588235,0.3128834355828221,0.3953488372093023
gemini-2.5-flash-lite,1p,164,0.38414634146341464,0.3780487804878049,0.9841269841269841,0.20121951219512196,0.32673267326732675
gemini-2.5-flash-lite,2ac,162,0.4691358024691358,0.4074074074074074,0.868421052631579,0.20987654320987653,0.3953488372093023
gemini-2.5-flash-lite,2ap,71,0.5774647887323944,0.5633802816901409,0.975609756097561,0.1267605633802817,0.3
gemini-2.5-flash-lite,2cp,35,0.2571428571428571,0.2571428571428571,1.0,0.37142857142857144,0.5
gemini-2.5-flash-lite,3acp,12,0.25,0.25,1.0,0.4166666666666667,0.5555555555555556
openai-gpt-3.5-turbo,1a,164,0.20121951219512196,0.18292682926829268,0.9090909090909091,0.4451219512195122,0.5572519083969466
openai-gpt-3.5-turbo,1c,163,0.1165644171779141,0.11042944785276074,0.9473684210526315,0.4662576687116564,0.5277777777777778
openai-gpt-3.5-turbo,1p,164,0.5304878048780488,0.5,0.9425287356321839,0.2073170731707317,0.44155844155844154
openai-gpt-3.5-turbo,2ac,162,0.24691358024691357,0.22839506172839505,0.925,0.3765432098765432,0.5
openai-gpt-3.5-turbo,2ap,71,0.6056338028169014,0.5633802816901409,0.9302325581395349,0.08450704225352113,0.21428571428571427
openai-gpt-3.5-turbo,2cp,35,0.22857142857142856,0.22857142857142856,1.0,0.4857142857142857,0.6296296296296297
openai-gpt-3.5-turbo,3acp,12,0.4166666666666667,0.4166666666666667,1.0,0.25,0.42857142857142855
